Steven Adams,adamsst01,2018-19,Oklahoma City Thunder,NBA,24157304.0
Steven Adams,adamsst01,2019-20,Oklahoma City Thunder,NBA,25842697.0
Steven Adams,adamsst01,2020-21,New Orleans Pelicans,NBA,29592695.0
Steven Adams,adamsst01,2021-22,Memphis Grizzlies,NBA,17073171.0
Steven Adams,adamsst01,2022-23,Memphis Grizzlies,NBA,17926829.0
Steven Adams,adamsst01,2023-24,Houston Rockets,NBA,12600000.0
Rafael Addison,addisra01,1991-92,New Jersey Nets,NBA,311000.0
Rafael Addison,addisra01,1992-93,New Jersey Nets,NBA,522000.0
Rafael Addison,addisra01,1994-95,Detroit Pistons,NBA,250000.0
Rafael Addison,addisra01,1995-96,Charlotte Hornets,NBA,360000.0
Rafael Addison,addisra01,1996-97,Charlotte Hornets,NBA,290000.0
Bam Adebayo,adebaba01,2017-18,Miami Heat,NBA,2490360.0
Bam Adebayo,adebaba01,2018-19,Miami Heat,NBA,2955840.0
Bam Adebayo,adebaba01,2019-20,Miami Heat,NBA,3454080.0
Bam Adebayo,adebaba01,2020-21,Miami Heat,NBA,5115492.0
Bam Adebayo,adebaba01,2021-22,Miami Heat,NBA,28103550.0
Bam Adebayo,adebaba01,2022-23,Miami Heat,NBA,30351780.0
Bam Adebayo,adebaba01,2023-24,Miami Heat,NBA,32600060.0
Deng Adel,adelde01
Rick Adelman*,adelmri01
Jeff Adrien,adrieje01,2010-11,Golden State Warriors,NBA,342666.0
Jeff Adrien,adrieje01,2011-12,Houston Rockets,NBA,270427.0
Jeff Adrien,adrieje01,2012-13,Charlotte Bobcats,NBA,804131.0
Jeff Adrien,adrieje01,2013-14,Charlotte Bobcats,NBA,916099.0
Jeff Adrien,adrieje01,2014-15,Houston Rockets,NBA,981084.0
Arron Afflalo,afflaar01,2007-08,Detroit Pistons,NBA,944520.0
Arron Afflalo,afflaar01,2008-09,Detroit Pistons,NBA,1015440.0
Arron Afflalo,afflaar01,2009-10,Denver Nuggets,NBA,1086240.0
Arron Afflalo,afflaar01,2010-11,Denver Nuggets,NBA,1959577.0
Arron Afflalo,afflaar01,2011-12,Denver Nuggets,NBA,7562500.0
Arron Afflalo,afflaar01,2012-13,Orlando Magic,NBA,7750000.0
Arron Afflalo,afflaar01,2013-14,Orlando Magic,NBA,7312500.0
Arron Afflalo,afflaar01,2014-15,Portland Trail Blazers,NBA,7750000.0
Arron Afflalo,afflaar01,2015-16,New York Knicks,NBA,8000000.0
Arron Afflalo,afflaar01,2016-17,Sacramento Kings,NBA,12500000.0
Arron Afflalo,afflaar01,2017-18,Sacramento Kings,NBA,1500000.0
Arron Afflalo,afflaar01,2017-18,Orlando Magic,NBA,1471382.0
Ochai Agbaji,agbajoc01,2022-23,Utah Jazz,NBA,3918360.0
Ochai Agbaji,agbajoc01,2023-24,Toronto Raptors,NBA,4114200.0
Maurice Ager,agerma01,2006-07,Dallas Mavericks,NBA,906480.0
Maurice Ager,agerma01,2007-08,New Jersey Nets,NBA,974400.0
Maurice Ager,agerma01,2008-09,New Jersey Nets,NBA,1042440.0
Maurice Ager,agerma01,2010-11,Minnesota Timberwolves,NBA,83305.0
Mark Aguirre,aguirma01,1984-85,Dallas Mavericks,NBA,800000.0
Mark Aguirre,aguirma01,1985-86,Dallas Mavericks,NBA,626240.0
Mark Aguirre,aguirma01,1987-88,Dallas Mavericks,NBA,715700.0
Mark Aguirre,aguirma01,1988-89,Dallas Mavericks,NBA,715700.0
Mark Aguirre,aguirma01,1990-91,Detroit Pistons,NBA,1115000.0
Mark Aguirre,aguirma01,1991-92,Detroit Pistons,NBA,1232000.0
Mark Aguirre,aguirma01,1992-93,Detroit Pistons,NBA,1351000.0
Mark Aguirre,aguirma01,1993-94,Detroit Pistons,NBA,1471000.0
Mark Aguirre,aguirma01,1993-94,Los Angeles Clippers,NBA,150000.0
Blake Ahearn,ahearbl01,2008-09,San Antonio Spurs,NBA,125562.0
Danny Ainge,aingeda01,1984-85,Boston Celtics,NBA,400000.0
Danny Ainge,aingeda01,1985-86,Boston Celtics,NBA,550000.0
Danny Ainge,aingeda01,1987-88,Boston Celtics,NBA,625000.0
Danny Ainge,aingeda01,1988-89,Boston Celtics,NBA,675000.0
Danny Ainge,aingeda01,1990-91,Portland Trail Blazers,NBA,725000.0
Danny Ainge,aingeda01,1991-92,Portland Trail Blazers,NBA,725000.0
Danny Ainge,aingeda01,1992-93,Phoenix Suns,NBA,1330000.0
Danny Ainge,aingeda01,1993-94,Phoenix Suns,NBA,1690000.0
Danny Ainge,aingeda01,1994-95,Phoenix Suns,NBA,2080000.0
Matt Aitch,aitchma01
Alexis Ajinça,ajincal01
Henry Akin,akinhe01
Josh Akognon,akognjo01,2013-14,Memphis Grizzlies,NBA,788872.0
DeVaughn Akoon-Purcell,akoonde01
Solomon Alabi,alabiso01,2010-11,Toronto Raptors,NBA,770000.0
Solomon Alabi,alabiso01,2011-12,Toronto Raptors,NBA,830000.0
Mark Alarie,alarima01,1987-88,Washington Bullets,NBA,232500.0
Mark Alarie,alarima01,1988-89,Washington Bullets,NBA,250000.0
Mark Alarie,alarima01,1990-91,Washington Bullets,NBA,500000.0
Mark Alarie,alarima01,1991-92,Washington Bullets,NBA,550000.0
Gary Alcorn,alcorga01
Santi Aldama,aldamsa01,2021-22,Memphis Grizzlies,NBA,1994520.0
Santi Aldama,aldamsa01,2022-23,Memphis Grizzlies,NBA,2094120.0
Santi Aldama,aldamsa01,2023-24,Memphis Grizzlies,NBA,2194200.0
Furkan Aldemir,aldemfu01,2014-15,Philadelphia 76ers,NBA,3000000.0
Furkan Aldemir,aldemfu01,2015-16,Philadelphia 76ers,NBA,3000000.0
Cole Aldrich,aldrico01,2010-11,Oklahoma City Thunder,NBA,2126520.0
Cole Aldrich,aldrico01,2011-12,Oklahoma City Thunder,NBA,2286000.0
Cole Aldrich,aldrico01,2012-13,Sacramento Kings,NBA,2445480.0
Cole Aldrich,aldrico01,2014-15,New York Knicks,NBA,981084.0
Cole Aldrich,aldrico01,2015-16,Los Angeles Clippers,NBA,1100600.0
Cole Aldrich,aldrico01,2016-17,Minnesota Timberwolves,NBA,7643979.0
Cole Aldrich,aldrico01,2017-18,Minnesota Timberwolves,NBA,7300000.0
Cole Aldrich,aldrico01,2018-19,Minnesota Timberwolves,NBA,685341.0
Cole Aldrich,aldrico01,2019-20,Minnesota Timberwolves,NBA,685340.0
Cole Aldrich,aldrico01,2020-21,Minnesota Timberwolves,NBA,685340.0
LaMarcus Aldridge,aldrila01,2006-07,Portland Trail Blazers,NBA,4027320.0
LaMarcus Aldridge,aldrila01,2007-08,Portland Trail Blazers,NBA,4329360.0
LaMarcus Aldridge,aldrila01,2008-09,Portland Trail Blazers,NBA,4631400.0
LaMarcus Aldridge,aldrila01,2009-10,Portland Trail Blazers,NBA,5844827.0
LaMarcus Aldridge,aldrila01,2010-11,Portland Trail Blazers,NBA,11244000.0
LaMarcus Aldridge,aldrila01,2011-12,Portland Trail Blazers,NBA,12372000.0
LaMarcus Aldridge,aldrila01,2012-13,Portland Trail Blazers,NBA,13500000.0
LaMarcus Aldridge,aldrila01,2013-14,Portland Trail Blazers,NBA,14128000.0
